level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
5,country,Albania,0,0,20,68,52.97,70.05,90.09,47.54,45.0108,41.19988,144.27032,206.42768,133.05633,177.10381,345.67184,264.33866,324.4219,658.50667,974.33332,995.92967,1050.70824,876.26832,855.44023,1265.90079,1111.43438,945.72284,1100.67189,1148.89122,1289.68905,1287.96699,1108.14775,1233.91769,1434.12551,1630.16306
5,country,Belarus,0,0,7,17.6,10.5,14.7,104.5,351.6,190.84497,444,118.8,95.8,247.1,171.8,163.8,306.6,357.1,1807.3,2187.9,1876.5,1393.4,4002.4,1429.3,2229.6,1827.6,1667.9,1237.8,1278.5,1421,1293.1,1398.4,1238.414,1603.425,2060.167
5,country,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,66.73638,176.78015,146.07558,118.86707,265.17369,381.05307,511.18617,351.18582,554.69003,1819.24423,1001.64769,249.9485,406.08909,496.52508,394.87324,276.36197,550.1991,361.14013,349.75913,491.88802,581.38305,457.51398,479.64858,683.38528,774.65275,945.96405
5,country,Iceland,22.08161,18.27233,-12.73766,0.44377,-1.52979,-9.2593,83.36842,149.53959,152.63894,68.54192,171.2249,173.59065,87.13563,332.09923,725.92628,3071.0508,3843.07495,6824.7912,919.69223,78.77028,245.1367,1107.4909,1025.12684,396.81664,447.11282,708.53038,-427.23658,-41.39852,-381.46752,-225.24041,-928.49956,517.79345,858.94503,977.11408
5,country,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,71.89008,49.43149,65.37657,500.61185,622.00163,934.44223,960.42333,1527.25942,760.44077,558.0527,619.75295,447.4746,497.6552,699.36536,226.40964,558.56576,489.81482,416.44721,532.28453,698.91957,876.73479,526.2454
5,country,North Macedonia,0,0,0,0,24,9.49,11.21,58.05835,150.48209,88.40616,215.0566,447.132,0,113.32635,323.66937,96.02169,432.57666,692.51017,585.76876,201.39624,212.52752,478.76977,142.90419,334.95553,272.5336,240.45175,374.60462,205.29801,725.20267,446.40215,230.06067,556.49502,784.5224,666.82388
5,country,Norway,1563.80297,302.33197,-668.11489,991.52398,2776.44745,2409.41034,3211.10234,3981.53646,3934.87164,6789.95329,6408.77362,2505.65803,1192.41763,2450.34759,954.03682,-2273.65153,8061.80253,2168.15344,8958.68794,19477.82639,14005.56238,11390.26623,14652.34207,1791.65957,-93.62598,-3361.66028,-3368.21429,-9779.64546,1044.32831,17022.61364,-7990.26491,3825.26193,9643.58119,7959.98763
5,country,Republic of Moldova,0,0,17,14,12.02,66.91,23.74,78.74,75.51,37.89,127.54,103.44,84.05,73.75,146.2,190.7,258.47,541.26,711.46,274.14,292.96,359.67,241.44,233.21,341.69,237.3,83.23,151.59,312.84,522.82,149.96,404.34,591.37,428.36
5,country,Russian Federation,0,0,1161,1210.782,689.574,2065.723,2579.321,4864.643,2761.36,3285.93,2651.06,2808.331,3425.021,7754.758,15283.751,14375.052,37441.574,54921.85,75855.697,27752.258,31667.969,36867.773,30187.664,53397.139,29151.662,11857.81,37175.76691,25953.53583,13227.64206,32075.62193,10409.87,38638.88,-15204.6,8363.52
5,country,Serbia,0,0,0,0,0,0,0,740,113,112,51.78091,177.44092,490.63573,1466.98659,958.46976,1577.03577,4255.70364,4405.90689,3971.8563,2896.05718,1686.10375,4932.25162,1298.5703,2053.09739,1998.79507,2347.55977,2352.01656,2878.29158,4090.50567,4269.81252,3468.52677,4589.57485,4598.44317,4870.13429
5,country,Serbia and Montenegro,0,0,125.68131,96.10735,62.58478,44.98535,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,country,Switzerland,5483.88954,2642.27784,411.03099,-83.24197,3366.99106,2222.46653,3078.45406,6635.798,8940.75775,11718.59189,19854.57474,9389.13612,6864.25725,17305.4617,1845.83836,-266.94936,44598.43361,33538.24238,16214.86619,29934.89716,29875.9404,26414.90267,29482.97401,1154.9207,9340.07171,65063.28284,88472.38118,128156.4715,-100954.1927,-84435.83899,-49570.22358,-76784.95075,-43248.01211,13506.82812
5,country,Ukraine,0,0,200,200,159,267,521,623,743,496,595,792,693,1424,1715,7808,5604,9891,10913,4816,6495,7207,8401,4499,410,-331,4055,3727,4732,6017,-36,7320,557,4247
5,country,United Kingdom,30461.116,14846.168,17236.65875,16956.70237,10235.26729,23589.64,28448.04184,33128.36833,65062.00482,90033.76711,115304.0181,35948.78033,19683.07447,16590.14616,61219.74441,182927.9379,147372.4303,176838.6384,92158.33343,89709.13776,58200.28153,42200.40023,55446.12011,51675.89032,24690.24073,39185.7001,258698.6755,96353.8315,87837.47725,53918.27123,44397.4359,-71173.82902,14911.83308,-89247.38266
3,region,North America,56004.276,25679.957,23945.744,55394.586,53299.115,68026.772,94088.764,114923.1838,197237.446,308120.0652,380802.0522,187124.4211,96612.45587,60628.24546,135380.9646,130464.5561,297429.9102,332772.594,367918.5191,166303.6763,226449.4427,269531.2979,242145.0061,270761.2412,260738.2048,511460.9699,495474.8742,331723.8459,240895.9248,280473.6794,118889.6496,449817.5207,378526.7679,361271.133
4,country,Canada,7582.276,2880.957,4723.744,4731.586,8204.115,9254.772,9633.764,11525.1838,22803.446,24744.06521,66795.05222,27663.42106,22155.45587,7482.24546,-445.03543,25691.55608,60293.91022,116820.594,61552.51912,22699.67632,28400.44265,39669.29788,43111.00614,69368.24121,59005.2048,43835.96994,36055.87423,22766.84593,37661.92475,50543.67938,25593.64964,60381.52068,46174.76787,50324.13296
4,country,United States,48422,22799,19222,50663,45095,58772,84455,103398,174434,283376,314007,159461,74457,53146,135826,104773,237136,215952,306366,143604,198049,229862,199034,201393,201733,467625,459419,308957,203234,229930,93296,389436,332352,310947
3,region,Other developed economies,12577.91384,8535.67002,10628.65368,7781.32598,9879.38043,18633.88479,14175.80029,18230.7235,18605.8048,30503.95082,42394.01488,22152.71378,32300.81838,20219.70606,65940.13026,-5809.02301,47332.98498,85853.59337,95994.02917,58090.8391,52195.12338,79579.79157,83370.96784,85595.53048,88292.57246,47544.37435,94914.20486,92711.69555,113560.5013,83589.26475,59772.91343,103277.3551,153548.8634,86632.4315
